OAI,015_1,02X_1,1XX_1,245_1,250_1,26X_1,publication_year_1,300_1,pages_1,format_1,4X0_1,787_1,bl_language_1,015_2,02X_2,1XX_2,245_2,250_2,26X_2,publication_year_2,300_2,pages_2,format_2,4X0_2,787_2,bl_language_2,typ_duplicity
caslin.SKC01-004228934 caslin.SKC01-009007857,,,,$aII. cyklický mineralogický seminář : $bmineralogie a kompletní využití nerostných surovin /,,"$aValtice : $bDům techniky ČSVTS Ústí n./L., $c1983",1983,$a156 s. :,156,BOOKS,,,cze,,,"$aCyklický mineralogický seminář $n(2. : $d1983 : $cValtice, Česko)",$a2. cyklický mineralogický seminář,,"$aValtice : $bDům techniky ČSVTS Ústí nad Labem, $c1983",1983,$a156 l.,156,BOOKS,,,cze,probable
knav.KNA01-001075490 knav.KNA01-001783565,,,"$aOgnjanov, Bujan",$a2. meždunaroden kongres po bälgaristika /,,"$a[S.I. : $bs.n., $c1987-1988].",1987,$a4 sv.,4,BOOKS,,,bul,,,"$aSmilkova, Vjara",$a2. meždunaroden kongres po bălgaristika /,,"$a[S.I. : $bs.n., $c1987-1989].",1987,$a6 sv.,6,BOOKS,,,rus,uncategorized
caslin.SKC01-000210043 caslin.SKC01-002037755,,,"$aKonecki, Tadeusz",$aII Wojna Światowa : $bprzełom pod Kurskiem /,$a1. Wyd.,"$aWarszawa : $bKrajowa Agencja Wydaw. RSW., $c1984",1984,$a78 s. :,78,BOOKS,,,pol,,,,$a2 wojna światowa : $bPrzełom pod Kurskiem,$aWydanie 1.,"$aWarszawa : $bKrajowa agencja wydawnicza RSW ""Prasa - Książka - Ruch"", $c1984",1984,$a78 s. ;,78,BOOKS,,,pol,probable
caslin.SKC01-005291199 caslin.SKC01-008369329,,,,$a2. výstava spolku Mánes : $bod 3. listopadu do 3. prosince,,"$aPraha : $bMánes, $c[1898 nebo 1899?]",1898,$a1 sv. (nestr.),1,BOOKS,,,cze,,,,"$aII. výstava spolku ""Manes"" : $bod 3. listop. - 3. prosince, Topičův salon",,"$a[Praha : $bSpolek ""Manes"", $c1898?]",1898,$a[4] s.,4,BOOKS,,,cze,probable
caslin.SKC01-005996887 caslin.SKC01-009120779,,,"$aPanzini, Alfredo, $d1863-1939 $7ola2003169737",$aIl Diavolo nella mia libreria /,,"$aMilano : $bA. Mandadori, $c1921",1921,$a183 s.,183,BOOKS,,,ita,,,"$aPanzini, Alfredo, $d1863-1939 $7ola2003169737",$aIl diavolo nella mia libreria /,,"$aRoma : $bA. Mondadori, $c[1921]",1921,$a182 s.,182,BOOKS,,,ita,probable
caslin.SKC01-004804549 caslin.SKC01-005121262,,,"$aSumma, Jan Ignác, $dasi 1650-1708 $7xx0014053","$aIMber abIIt, & reCessIt fLores apparVerVnt VoX tVrtVrIs (Joannis,) aVDIta est In terra nostra : $bcant. 2. v. 12 : concordi erga D. Joannem Nepomucenum, pietate & charitae, profuso effuso, nunqvam spe confuso: eX prInCIpIo gratItVDo VoVIt, eX fIne obLIgatIo proMoVIt",,"$aPragae in Magno Collegio Carolino : $btypis Georgij Labaun, $c1699",1699,"$a[27] s., [1] obr. příl. ;",27,BOOKS,,"$iPřívazek 12. k: $tReligiosa sancti Felicis a Cantalitio $dVetero-Pragae : typis Caroli Francisci Rosenmüller, 1713",lat,,,"$aSumma, Jan Ignác, $dasi 1650-1708 $7xx0014053","$aIMber abIIt, & reCessIt fLores apparVerVnt VoX tVrtVrIs (JoannIs,) aVDIta est In terra nostra",,"$aPragae in Magno Collegio Carolino: $bTypis Georgij Labaun, $c1699",1699,$a[28] s. ;,28,BOOKS,,"$iPřívazek 1.: $aSumma, Jan Ignác $tAnnus Clementinus 1707 $dPragae : Typis Caroli Francisci Rosenmüller, 1707 $$$iPřívazek 2.: $aVatter, Martinus Josephus $tPentaphillus Majalis $dPragae : Typis Caroli Joannis Hraba, 1714 $$$iPřívazek 3.: $tFuga Mundi $dPragae : Typis Caroli Joannis Hraba, [17--]",lat,convolut
caslin.SKC01-000124773 caslin.SKC01-003007425,,,,"$aImena na poverke : $bStichi voinov, pavšich na frontach Velikoj Otečestvennoj vojny /",,"$aMoskva : $bMolodaja gvardija, $c1975",1975,$a302 s.,302,BOOKS,,,rus,,,"$aKovalev, Dmitrij Michajlovič, $d1915-1977 $7jx20050722056","$aImena na poverke : $bStichi voinov, pavšich na frontach Velikoj Otečestvennoj vojny /",$a3-je izd. s izmenenijami,"$aMoskva : $bMolodaja gvardija, $c1975",1975,$a304 s. :,304,BOOKS,,,rus,probable
caslin.SKC01-003861178 caslin.SKC01-004619696,,,,$aIm Reiche der Freiheit : $bbriefe über den Socialismus /,,"$aWien : $bBrand, $c1899",1899,"$axii, 227 s.",227,BOOKS,,,ger,,,"$aBlatchford, Robert, $d1851-",$aIm Reiche der Freiheit : $bBriefe über den Socialismus /,,"$aWien : $bWiener Volksbuchhandlung, $c1899",1899,"$aXII, 227 s.",227,BOOKS,,,ger,probable
caslin.SKC01-001716095 caslin.SKC01-007292772,,,"$aBiľak, Vasil, $d1917-2014 $7jn20000400180",$aImpulsos inspiradores también para nosotros,$a0,"$aPraga, $c1987",1987,$a1 sv.,1,BOOKS,,,,,,"$aBiľak, Vasil, $d1917-2014 $7jn20000400180",$aImpulsos inspiradores también para nosotros /,,"$aPraga : $bOrbis, $c1987",1987,$a3 strany,3,BOOKS,,,spa,probable
caslin.SKC01-006194621 caslin.SKC01-007269871,,,"$aMitis z Limuz, Tomáš, $d1523-1591 $7jk01081844","$aINDEX ALTER Thomae Mitis METRORVM I. partis, editorum, ac recognitorum: aut etiam edendorum, non sine elogijs CLL. VV.",,"$aPragae : $bExcudebat Georgius Iacobides Daczicenus, $c1580",1580,"$a16 nečíslovaných stran, 42 listů ;",42,BOOKS,,"$iPřívazek 1. k: $aMitis z Limuz, Tomáš. $tTHOMAE MITIS, CHRISTIADOS, SEV DECEM PROMISSIONVM DE CHRISTO IESV. $dPragae : Excvdebat Michael Peterle, 1583",lat,,,"$aMitis z Limuz, Tomáš, $d1523-1591 $7jk01081844","$aINDEX ALTER Thomae Mitis METRORVM I. partis, editorum, ac recognitorum: aut etiam edendorum, non sine elogijs CLL.VV.",,"$aPragae : $bExcudebat Georgius Iacobides Daczicenus, $c1580",1580,"$a[8], 42 listů ;",42,BOOKS,,"$iPřívazek 1. k: $aMitis z Limuz, Tomáš. $tTHOMAE MITIS, CHRISTIADOS. $dPragae : Excvdebat Michael Peterle, 1583",lat,convolut
caslin.SKC01-004986879 caslin.SKC01-006644228,,,"$aOsborn, H. B.","$aInduction heating : $ba series of 5 educational lectures on induction heating presented to members of the A. S. M. during the 27th National Metal Congress and Exposition, Cleveland, February 4 to 8, 1946 /",,"$aCleveland : $bAmerican Society for Metals, $c1946",1946,$a172 s.,172,BOOKS,,,eng,,,,"$aInduction heating : $ba series of five educational lectures on induction heating presented to members of the A.S.M. during the 27th national metal Congress and Exposition, Cleveland, Frebruary 4 to 8, 1946 /",,"$aCleveland : $bAmerican Society for Metals, $c1946",1946,"$a[iv], 172 s. :",172,BOOKS,,,eng,probable
caslin.SKC01-006517470 caslin.SKC01-008823036,,,"$aTitkov, Vladimir",$aInflation in the Russian Federation : $bdynamics and causes /,$a1.vyd,"$aWien : $bInstitut für Höhere Studien, $c1994",1994,"$a33 s., tab.",33,BOOKS,$aReihe Osteuropa [I] ; $vNo. 5,,eng,,,"$aTitkov, Vladimir",$aInflation in the Russian federation : $bdynamics and causes,,"$aVienna : $bInstitute for Advanced Studies, $c1994.",1994,$a34 p.,34,BOOKS,$aEast European series ; $v5,,eng,probable
caslin.SKC01-007087501 caslin.SKC01-009661559,,,"$aFritsch, Ahasverus, $d1629-1701 $7ola2002158950","$aI.N.J. AHASVERI FRITSCHII, DISCURS Von Verbothenen übermässigen Geldbussen, Wormit die Gerichts-Herrn, und deren Beambte die Unterthanen, wieder Gebühr belegen; nebst nöthiger Erinnerung, und Unterricht, warumb solche Unzimligkeit zu vermeiden, und was bey dictirung der Geld-Straffen besonders in Acht zunehmen",,"$aJena : $bGedruckt bey Johann Gollnern, $c1674",1674,$a29 stran ;,29,BOOKS,,,lat,,,"$aFritsch, Ahasverus, $d1629-1701 $7ola2002158950","$aI.N.J. AHASVERI FRITSCHII, DISCURS Von Verbothenen übermässigen Geldbussen, Wormit die Gerichts-Herrn, und deren Beambte die Unterthanen, wieder Gebühr belegen; nebst nöthiger Erinnerung, und Unterricht, warumb solche Unzimligkeit zu vermeiden, und was bey dictirung der Geld-Straffen besonders in Acht zunehmen",,"$aJena : $bGedruckt bey Johann Gollnern, $c1674",1674,$a29 stran ;,29,BOOKS,,,lat,probable
caslin.SKC01-007087318 caslin.SKC01-007430632,,,"$aFritsch, Ahasverus, $d1629-1701 $7ola2002158950","$aI.N.J. SUPPLEMENTUM SPEIDELIO-BESOLDIANUM, notabilium verborum, rerum, antiquitatum, clausularum, & terminorum Juridico-Politicorum, juxta seriem Alphabeticam dispositorum farraginem complectens. : $bIn gratiam Studiosae juventutis Collectum & Editum /",,"$aJenae : $bSumptibus Johannis Bielcken, Bibliop., $c1674",1674,"$a143 stran, 9 nečíslovaných stran, 1 nečíslovaná obrazová příloha :",143,BOOKS,,"$iPřívazek 9. k: $aFritsch, Ahasverus. $tI.N.J. TRACTATIO DE JURE PRAESIDII, vulgo Besatzungs-Recht. $dJenae : Sumptibus Johannis Bielcken, Bibliop., 1672",lat,,,"$aFritsch, Ahasverus, $d1629-1701 $7ola2002158950","$aI.N.J. SUPPLEMENTUM SPEIDELIO-BESOLDIANUM, notabilium verborum, rerum, antiquitatum, clausularum, & terminorum Juridico-Politicorum, juxta seriem Alphabeticam dispositorum farraginem complectens. : $bIn gratiam Studiosae juventutis Collectum & Editum /",,"$aJENAE : $bSumptibus JOHANNIS Bielcken, Bibliop., $c1674 $$$bExcudebat SAMUEL Krebs",1674,"$a6 mečíslovaných stran, 143 stran, 9 nečíslovaných stran ;",143,BOOKS,,,lat,convolut
caslin.SKC01-004840707 caslin.SKC01-003873625,,$a978-3-446-40781-7,,$aInjection molding handbook /,"$a2nd ed., Updated 2nd ed.","$aMunich : $bCarl Hanser Publishers ;, $cc2008.",2008,"$axvii, 764 s. :",764,BOOKS,,,eng,,$a978-1-56990-420-6 $q(Hanser Gardner Publications ; $qváz.) $$$a978-3-446-40781-7 $q(Carl Hanser Verlag ; $qváz.),"$aOsswald, Tim A. $7xx0008196",$aInjection molding handbook /,$a2nd ed.,"$aMunich : $bCarl Hanser Publishers ; $aCincinnati : $bHanser Gardner Publications, $cc2008",2008,"$axvii, 764 s. :",764,BOOKS,,,eng,real
caslin.SKC01-004972097 caslin.SKC01-008111371,,,"$aLauber, Joseph, $d1744-1810 $7mzk2009509934",$aInstitutiones Theologiae Pastoralis Compendiosae Ad Normam Praescriptam A Caesareo - Regia Studiorum Commissione Exaratae. $nTomus Primus /,,"$aHabetur Pragae : $bapud Josephum Gröbl, $c1780",1780,"$a[2], 359, [2] s. ;",359,BOOKS,,"$iPřívazek 1.: $aLauber, Joseph. $tInstitutiones Theologiae Pastoralis ... Tomus Secundus $dBrunae : Typis Neumannianis , Factore Joanne Nep. Schreiner, 1780 $$$iPřívazek 2.: $aLauber, Joseph. $tInstitutiones Theologiae Pastoralis ... Tomus Tertius $dBrunae : Typis Neumannianis , Factore Joanne Nep. Schreiner, 1781",lat,,,"$aLauber, Joseph, $d1744-1810 $7mzk2009509934",$aInstitutiones Theologiae Pastoralis Compendiosae ad Normam Praescriptam a Caesareo-Regia Studiorum Commissione Exaratae. $nTomus Primus /,,"$aBrunae : $bTypis Haeredum Swobodianorum, $c1780",1780,$a359 s.,359,BOOKS,,,lat,convolut
nkp.STT01-000168644 nkp.STT01-000186204,,,"$aWeber, Johann Adam, $d1611-1686 $7mzk2007401439","$aINTERESSE CAESAREUM AD SUA FUNDAMENTA ET ADIUMENTA REDUCTUM, IN RATIONE ET AEQUITATE FUNDATUM, PER AUTHORITATEM JURIS PUBLICI DECLARATUM, EX DECISIONIBUS FAVORABILIBUS CONCINNATUM, Ac denique SENTENTIIS ET HISTORICIS SELECTIS ILLUSTRATUM, /",,"$aSalisburgi : $bTypis & Expensis Joannis Baptistae Mayr, $c[1685]",1685,"$a28 nečíslovaných stran, 284 stran, 1 nečíslovaná obrazová příloha :",284,BOOKS,,,lat,,,"$aWeber, Johann Adam, $d1611-1686 $7mzk2007401439","$aINTERESSE CAESAREUM AD SUA FUNDAMENTA ET ADIUMENTA REDUCTUM, IN RATIONE ET AEQUITATE FUNDATUM, PER AUTHORITATEM JURIS PUBLICI DECLARATUM, EX DECISIONIBUS FAVORABILIBUS CONCINNATUM, Ac denique SENTENTIIS ET HISTORICIS SELECTIS ILLUSTRATUM, /",,"$aSalisburgi : $bTypis & Expensis Joannis Baptistae Mayr, Typographi Aulico-Academici, $c[1685]",1685,"$a28 nečíslovaných stran, 284 stran, 1 nečíslovaná obrazová příloha :",284,BOOKS,,,lat,probable
caslin.SKC01-000293650 caslin.SKC01-003198197,,$a3-540-10475-5,,"$aInternational cell biology 1980-1981 : $bpapers presented at the second international congress on cell biology Berlin (West), August 31-September 5, 1980",,"$aBerlin : $bSpringer, $c1981",1981,$a1033 s. :,1033,BOOKS,,,eng,,$a0-387-10475-5 $$$a3-540-10475-5,"$aSchweiger, Hans-Georg, $d1927-","$aInternational cell biology, 1980-1981 : $bpapers presented at the Second International Congress on Cell Biology, Berlin (West), August 31-September 5, 1980 /",,"$aBerlin ; $aNew York : $bSpringer Verlag, $c1981",1981,"$axviii, 1033 s. :",1033,BOOKS,,,eng,real
caslin.SKC01-002279879 caslin.SKC01-007290218,,$a963-481-799-8 $q(brožováno) $$$a963-481-233-3 $q(soubor),,$aIntézményi- és magángyűjtemények Magyarországon 1722-1750 : $bkönyvjegyzékek bibliográfiája /,,"$aSzeged : $bJózsef Attila Tudományegyetem, $c1990",1990,"$axiii, 159 stran ;",159,BOOKS,$aKönyvtártörténeti füzetek / József Attila Tudományegyetem ; $v7,,hun,,,,$aIntézményi- és magángyüjtemények Magyarországon : $b1722-1750 : könyvjegyzékek bibliográfiája /,,"$aSzeged : $bJózsef Attila Tudományegyetem, $c1990",1990,"$a13, 159 stran ;",159,BOOKS,$aKönyvtártörténeti füzetek ; $v7,,hun,real
caslin.SKC01-000186462 caslin.SKC01-005438680,,$q(Vázáno),"$aLange, Oskar, $d1904-1965 $7kup20030000055425",$aIntroduction to economic cybernetics /,,"$aWarszawa : $bPaństwowe Wydawnictwo Naukowe, $c1970",1970,$a181 stran ;,181,BOOKS,,,eng,,$q(Váz.),"$aLange, Oskar, $d1904-1965 $7kup20030000055425",$aIntroduction to economic cybernetics : $bprepared with the collaboration of Antoni Banasiński on the basis of lectures delivered at the University of Warsaw /,,"$aWarszawa : $bPaństwowe Wydawnictwo Naukowe, $c1970",1970,"$axv, 183 s. :",183,BOOKS,,,eng,probable
caslin.SKC01-002168391 caslin.SKC01-003663627,,,"$aBolinger, Dwight Le Merton, $d1907-1992 $7jn19992000081",$aIntonation : $bselected readings /,$a1st Ed,"$aHarmondsworth : $bPenguin Books, $c1972",1972,"$a464 s., :",464,BOOKS,$aPenguin Linguistics Readings,,eng,,$q(Brož.),,$aIntonation : $bselected readings /,$a1st publ.,"$aHarmondsworth : $bPenguin Books, $c1972",1972,$a464 s. :,464,BOOKS,$aPenguin modern linguistics readings $$$aPenguin education,,eng,real
caslin.SKC01-000275032 caslin.SKC01-001544955,,$a92-803-2138-2 $q(brož.),"$aHallak, Jacques",$aInvestir dans l'avenir : $bDéfinir les priorités de l'éducation dans le monde en développement /,,"$aParis : $bUnesco, $c1990",1990,"$a6, 345 s. :",345,BOOKS,$aProgramme des Nations Unies pour le Développement,,fre,,,,$aInvestir dans l'avenir : $bDéfinir les priorité de l¸éducation dans le monde en développement /,,"$aParis : $bUNESCO, $c1990",1990,"$a6, 345 s.",345,BOOKS,$aProgramme des Nations Unies pour le développement,,fre,real
caslin.SKC01-003350968 caslin.SKC01-001236220,,,,$aInženernyje metody obespečenija nadežnosti sistem /,,"$aMoskva : $bMir, $c1984",1984,$a318 s.,318,BOOKS,,,rus,,,"$aDhillon, B. S.",$aInženernyje metody obespečenija nadežnosti sistem /,,"$aMoskva : $bMir, $c1984",1984,$a318 s.,318,BOOKS,,,rus,probable
caslin.SKC01-005120431 caslin.SKC01-007266923,,,"$aBethlen, János, $d1613-1678",$aIoannis Com. De Betlen Commentarii De Rebvs Transsilvanicis Proximis Ab Obitv Gabrielis Betlenii Triginta Qvatvor Annis Gestis. $nPars Prior,$aEditio Nova,"$aViennae : $bTypis Iosephi Nobilis De Kvrzböck, $c1779",1779,"$aXXXII, 132 s., 2 příl. ;",132,BOOKS,,"$iPřívazek 1.: $aBethlen, János. $tIoannis Com. De Betlen Commentarii De Rebvs Transsilvanicis Proximis ... Pars Altera. $dViennae : Typis Iosephi Nobilis De Kvrzböck, 1780",lat,,,"$aBethlen, János, $d1613-1678",$aIoannis Com. De Betlen Commentarii De Rebvs Transsilvanicis Proximis Ab Obitv Gabrielis Betlenii Triginta Qvatvor Annis Gestis. $nPars Prior,$aEditio Nova,"$aViennae : $bTypis Iosephi Nobilis De Kvrzböck, $c1779",1779,"$aXXXII, 132 s., 2 příl. ;",132,BOOKS,,"$iPřívazek 1.: $aBethlen, János. $tIoannis Com. De Betlen Commentarii De Rebvs Transsilvanicis Proximis ... Pars Altera. $dViennae : Typis Iosephi Nobilis De Kvrzböck, 1780",lat,convolut
caslin.SKC01-003077078 caslin.SKC01-004279148,,,"$aJaroch, Jiří, $d1920-1986 $7jz8600371",$aI. sinfonia $bpartitura /,$a1. vyd.,"$aPraha : $bPanton, $c1960",1960,$a1 partitura (278 s.) ;,278,MUSICAL_SCORES,,,cze,,,"$aJaroch, Jiří, $d1920-1986 $7jz8600371",$a1. sinfonia $bpartitura /,$a1. vyd.,"$aPraha : $bPanton, $c1960",1960,$a278 s.,278,MUSICAL_SCORES,,,cze,real
caslin.SKC01-002514448 caslin.SKC01-009314967,,,"$aTurkov, Andrej Michajlovič, $d1924- $7jx20071127070",$aIsaak Il'jič Levitan /,,"$aMoskva : $bIskusstvo, $c1974",1974,$a159 s. :,159,BOOKS,$aŽizn' v iskusstve,,rus,,,"$6880-01 $aTurkov, Andrej Michajlovič, $d1924- $7jx20071127070",$aIsaak Il‘jič Levitan /,,"$aMoskva : $bIskusstvo, $c1974",1974,"$a160 stran, 20 nečíslovaných listů obrazové přílohy :",160,BOOKS,$aŽizn‘ v iskusstve,,rus,probable
caslin.SKC01-003160311 caslin.SKC01-005263857,,,"$aSmetana, Bedřich, $d1824-1884 $7jk01120043",$a1. smyčcový kvartet e moll Z mého života $bhlasy /,"$a1. vyd., SNKLHU.","$aPraha : $bStátní nakladatelství krásné literatury, hudby a umění, $c1956",1956,"$a4 hlasy (11, 11, 11, 11) ;",11,MUSICAL_SCORES,$aKomorní hudba ve hlasech,,cze,,,"$aSmetana, Bedřich, $d1824-1884 $7jk01120043","$aI. smyčcový kvartet e moll ""Z mého života"" $bhlasy /",$a1. vyd.,"$aPraha : $bStátní nakladatelství krásné literatury, hudby a umění, $c1956",1956,"$a11, 11, 11, 11 s.",11,MUSICAL_SCORES,,,zxx,real
caslin.SKC01-003131951 caslin.SKC01-006536144,,,,$aIstočniki i istoriografija slavjanskogo srednevekovja,,"$aMoskva : $bIzdatelstvo ""Nauka"", $c1967",1967,$as. 277-282,282,BOOKS,,,rus,,,$aAkademija nauk SSSR,$aIstočniki i istoriografija slavjanskogo srednevekovja : $bsbornik statěj i materialov /,,"$aMoskva : $bNauka, $c1967",1967,$a281 s.,281,BOOKS,,,rus,probable
caslin.SKC01-002909485 caslin.SKC01-007621096,,,"$aSarpi, Paolo, $d1552-1623 $7jo2004214913","$aIstoria del Concilio Tridentiono : $bDell'Ordine dei Servi: ... con note critiche, istoriche e teologiche .... $nT. 2. /",,"$aLondra : $bfratelli de Tournes, $c1757",1757,"$aIX, 874 s. ;",874,BOOKS,,,ita,,,"$aSarpi, Paolo, $d1552-1623 $7jo2004214913","$aIstoria del Concilio Tridentiono : $bDell'Ordine dei Servi: ... con note critiche, istoriche e teologiche .... $nT. 2. /",,"$aLondra : $bfratelli de Tournes, $c1757.",1757,"$aIX, 874 s. ;",874,BOOKS,,,ita,probable
caslin.SKC01-000237366 caslin.SKC01-004528080,,,,$aIst eine Himmelsmacht /,,"$aBerlin : $bEulenspiegel Verl., $c1959",1959,$a107 s.,107,BOOKS,,,ger,,,"$aFeleki, László",$a--Ist eine Himmelsmacht /,,"$aBerlin : $bEulenspiegel Verlag, $c1959",1959,$a107 s. :,107,BOOKS,,,ger,probable
caslin.SKC01-002502597 caslin.SKC01-007673162,,,"$aŠčerbakova, Antonina Aleksejevna $7xx0089703","$aIstorija botaniki v Rossii (darvinovskij period, 1861-1917 gg.) /",,"$aNovosibirsk : $bNauka, $c1983",1983,$a362 s. :,362,BOOKS,,,rus,,$q(Vázáno),"$6880-01 $aŠčerbakova, Antonina Aleksejevna $7xx0089703","$aIstorija botaniki v Rossii : $b(darvinovskij period, 1861-1917 gg.) /",,"$aNovosibirsk : $bNauka, $c1983",1983,$a362 sstran :,362,BOOKS,,,rus,probable
caslin.SKC01-000237517 caslin.SKC01-002016865,,,,"$aIstoričeskoje značenije Velikoj Oktjabr'skoj socialističeskoj revoljucii : $bmaterialy Meždunarodnoj teoretičeskoj konferencii, organizovannoj redakcijej žurnala Problemy mira i socializma v Prage 22-24 ijunja 1967 g. /",,"$aMoskva : $bPolitizdat, $c1967",1967,$a534 s.,534,BOOKS,,,rus,,$q(vázáno),,"$aIstoričeskoje značenije Velikoj Oktjabr'skoj socialističeskoj revoljucii : $bmaterialy Meždunarodnoj teoretičeskoj konferencii, organizovannoj redakcijej žurnala Problemy mira i socializma v Prage 22-24 ijuna 1967 g. /",,"$aMoskva : $bIzdatel'stvo političeskoj literatury, $c1967",1967,$a536 stran,536,BOOKS,,,rus,probable
caslin.SKC01-003624619 caslin.SKC01-006568053,,,"$6880-01 $aVasjutina, Jevgenija Konstantinovna",$aIvan Carevič : $bPovesti /,,"$aLeningrad : $bSovetskij pisatel', $c1957",1957,$a392 s. :,392,BOOKS,,,rus,,,"$aVasjutina, Jevgenija Konstantinovna",$aIvan Carevič : $bpovesti /,,"$aLeningrad : $bSovetskij pisatel', $c1957",1957,$a389 s.,389,BOOKS,,,rus,probable
caslin.SKC01-006082702 caslin.SKC01-001529159,,,"$aDeborin, Grigorij Abramovič $7jx20051216030",$aItogi i uroki Velikoj Otečestvennoj vojny /,,"$aMoskva : $bMysl', $c1970",1970,$a342 s.,342,BOOKS,,,rus,,,"$6880-01 $aDeborin, Grigorij Abramovič $7jx20051216030",$aItogi i uroki Velikoj Otečestvennoj vojny /,,"$aMoskva : $bMysl', $c1970",1970,$a344 s.,344,BOOKS,,,rus,probable
caslin.SKC01-005912499 caslin.SKC01-005907843,,,"$aPetrželka, Vilém, $d1889-1967 $7jk01092869",$a4 impromptus pro housle a klavír $bop. 36. /,,"$aPraha : $bHudební matice Umělecké besedy, $c1944",1944,$a1 partitura (17 s.) + 1 hlas,17,MUSICAL_SCORES,,,zxx,,,"$aPetrželka, Vilém, $d1889-1967 $7jk01092869",$a4 impromptus $bpro housle a klavír : op. 36 /,,"$aPraha : $bHudební matice, $c1944",1944,$a18 + [7] s. ;,18,MUSICAL_SCORES,,,|||,probable
caslin.SKC01-003772304 caslin.SKC01-007300329,,,,$aIvan Nikolajevič Pavlov,,"$aMoskva : $bSovetskij chudožnik, $c1950",1950,"$a[23] s., 2 barev., [60] čb. obr. :",60,BOOKS,$a(Mastera sovetskogo iskusstva) ; $v[9],,rus,,,"$aKornilov, P.",$aIvan Nikolajevič Pavlov /,,"$aMoskva : $bSovetskij chudožnik, $c1950",1950,"$a[23] s., 2 barev., [60] čb. obr. :",60,BOOKS,$aMastera sovetskogo iskusstva ; $vvyp 9,,rus,real
caslin.SKC01-000751615 caslin.SKC01-001977279,,,"$aJesenský, Janko, $d1874-1945 $7jn19990004036",$aIzbrannyje stichotvorenija /,,"$aPrešov : $bKul'turnogo sojuza ukrajins'kych trudjaščichsja, $c1953, [v tir. 1954]",1953,"$a55, [3] s. ;",55,BOOKS,,,rus,,,"$aJesenský, Janko, $d1874-1945 $7jn19990004036",$aIzbrannyje stichotvorenija /,,"$aPrjašev : $bKul'turnyj sojuz ukrainskich trudjaščichsja, $c1953",1953,$a58 s. :,58,BOOKS,,,rus,probable
nkp.STT01-000162667 nkp.STT01-000165184,,,"$aMenochio, Giacomo, $d1532-1607 $7ola2007364856","$aJACOBI MENOCHII IVRISC. PAPIENSIS, REGII DUCALISQ. SENATORIS, AC REDITVVM EXTRAORDINARIORVM REGIAE Majestatis Catholicae Praesidis Mediolanensis, divini atque humani Iuris scientia peritissimi, DE PRAESUMPTIONIBUS, CONJECTURIS, SIGNIS, ET INDICIIS, COMMENTARIA, In SEX distincta LIBROS, & recens in lucem edita. VARIA, RECONDITA, PERFECTAQVE ERVDITIONE REFERTA, ET omnibus, judicia praesertim exercentibus, oppido quam necessaria. EDITIO OMNIVM POSTREMA: AB EODEM AUCTORE MULTIS IN LOCIS, ET INTEGRIS Capitibus aucta, & locupletata, ac multo quam prius emendatior. ADIECTA SVNT SVMMARIA, INDEXQVE GENERALIS OMNIVM Rerum, Sententiarumque insignium copiosissimum. $nTOMUS PRIMUS",,"$aGenevae : $bSuptibus Leonardi Chovët & Socij, $c1686",1686,"$a184 nečíslovaných stran, 612 stran ;",612,BOOKS,,,lat,,,"$aMenochio, Giacomo, $d1532-1607 $7ola2007364856","$aJACOBI MENOCHII IVRISC. PAPIENSIS, REGII DUCALISQ. SENATORIS, AC REDITVVM EXTRAORDINARIORVM REGIAE Majestatis Catholicae Praesidis Mediolanensis, divini atque humani Iuris scientia peritissimi, DE PRAESUMPTIONIBUS, CONJECTURIS, SIGNIS, ET INDICIIS, COMMENTARIA, In SEX distincta LIBROS, & recens in lucem edita. VARIA, RECONDITA, PERFECTAQVE ERVDITIONE REFERTA, ET omnibus, judicia praesertim exercentibus, oppido quam necessaria. EDITIO OMNIVM POSTREMA: AB EODEM AUCTORE MULTIS IN LOCIS, ET INTEGRIS Capitibus aucta, & locupletata, ac multo quam prius emendatior. ADIECTA SVNT SVMMARIA, INDEXQVE GENERALIS OMNIVM Rerum, Sententiarumque insignium copiosissimum. $nTOMUS PRIMUS",,"$aCOLONIAE ALLOBROGVM : $bSumptibus LEONARDI CHOVËT & Socij, $c1686",1686,"$a178 nečíslovaných stran, 612 stran ;",612,BOOKS,,"$iPřívazek 1.: $aMenochio, Giacomo. $tDe praesvmptionibvs, coniecturis, signis, et indiciis, commentaria. T.2. $dColoniae Allobrogum 1686 $wstt20160165185",lat,convolut
caslin.SKC01-004806427 caslin.SKC01-004806428,,,"$aBalda, Josef, $d1827-1861 $7jk01010668",$aJaké budou ty nové peníze? : $bvyklad nového mincovního čísla rakouského /,$a2. vyd.,"$aV Praze : $bI.L. Kober, $c1858",1858,$a50 s.,50,BOOKS,,,cze,,,"$aBalda, Josef, $d1827-1861 $7jk01010668",$aJaké budou ty nové peníze? : $bvyklad nového mincovního čísla rakouského /,,"$aV Praze : $bI.L. Kober, $c1858",1858,$a46 s.,46,BOOKS,,,cze,probable
